Year,M1,Monetary_Base,grate_M1,grate_Monetary_Base
1883,,1.373895257,,
1884,,1.338928357,,-2.545092126
1885,214,1.3377322,,-0.089336893
1886,214,1.312101342,0,-1.915993201
1887,203,1.270943013,-5.140186916,-3.136825463
1888,229,1.3146065,12.80788177,3.435518867
1889,233,1.382892764,1.746724891,5.194426165
1890,253,1.552799702,8.583690987,12.28634225
1891,263,1.592799489,3.95256917,2.575978534
1892,279,1.63524425,6.08365019,2.664789968
1893,318,1.79422027,13.97849462,9.721851644
1894,349,1.863529662,9.748427673,3.862925481
1895,423,2.121485783,21.2034384,13.84234049
1896,475,2.259705848,12.29314421,6.515248233
1897,549,2.486125555,15.57894737,10.01987525
1898,569,2.148711517,3.64298725,-13.57188245
1899,770,2.484876737,35.32513181,15.64496757
1900,755,2.399445558,-1.948051948,-3.438044943
1901,737,2.318889282,-2.38410596,-3.357287092
1902,835,2.495160677,13.29715061,7.601544255
1903,885,2.526042589,5.988023952,1.237672278
1904,995,2.972592777,12.42937853,17.67785666
1905,1156,3.291033812,16.18090452,10.71256842
1906,1509,3.717234287,30.53633218,12.95035236
1907,1402,3.95066543,-7.090788602,6.279699502
1908,1350,3.870756132,-3.708987161,-2.022679455
1909,1494,3.253621937,10.66666667,-15.94350494
1910,1613,4.499069505,7.96519411,38.27880412
1911,1743,4.875437634,8.059516429,8.365465983
1912,1796,4.999153356,3.040734366,2.537530603
1913,1810,4.861655499,0.779510022,-2.750422866
1914,1771,4.429820297,-2.154696133,-8.882472279
1915,2068,4.846955558,16.77018634,9.416527828
1916,2847,6.418931385,37.66924565,32.43223108
1917,4082,8.609433163,43.37899543,34.12564564
1918,5296,11.7777142,29.74032337,36.80011189
1919,6665,15.81150125,25.84969789,34.24932021
1920,7065,14.62496628,6.001500375,-7.50425245
1921,7625,15.94763744,7.926397735,9.04392622
1922,7501,15.81471357,-1.626229508,-0.833501956
1923,7460,16.30661992,-0.546593787,3.110434772
1924,7425,16.10266388,-0.469168901,-1.250756079
1925,7369,15.83228729,-0.754208754,-1.679079884
1926,7157,15.30006519,-2.876916814,-3.361624826
1927,7468,16.2266053,4.345396116,6.05579191
1928,7439,16.64851014,-0.388323514,2.600080745
1929,7381,16.01198165,-0.779674687,-3.82333605
1930,6755,14.24011974,-8.481235605,-11.06585024
1931,6246,13.61554529,-7.535159141,-4.38601965
1932,6677,14.38603583,6.900416266,5.658903287
1933,6995,15.46182472,4.762617942,7.478007859
1934,7292,16.53862169,4.245889921,6.964229575
1935,7582,17.45964744,3.976961053,5.56893898
1936,8340,18.70432014,9.997362174,7.128853571
1937,10050,23.73941838,20.50359712,26.91944001
1938,12753,26.16406599,26.89552239,10.21359315
1939,18299,35.01555918,43.48780679,33.83072491
1940,23163,45.14120017,26.58068747,28.91754759
1941,,58.88210873,,30.43983879
1942,,69.77195103,,18.49431438
1943,,98.54740051,,41.24214538
1944,,171.9457456,,74.48024475
1945,,426.2380903,,147.8910361
1946,,713.5639999,,67.4097215
1947,,1661.619886,,132.8620679
1948,,2684.16851,,61.53926254
1949,,2711.642503,,1.023556938
1950,,3224.628298,,18.91789919
1951,,3862.706523,,19.78765197
1952,,4384.847808,,13.51749821
1953,,4851.537065,,10.64322589
1954,,4808.610831,,-0.884796579
1955,18476.46935,5244.034504,,9.055082399
1956,21073.28,6141.663726,14.05469087,17.11714943
1957,23750.54507,6567.322545,12.70454846,6.930676084
1958,25078.25221,7022.148033,5.590217555,6.92558474
1959,29198.58985,8425.24005,16.42992345,19.98095185
1960,35025.88385,10014.45859,19.9574501,18.86259063
