Year,MD02'MAM1NEM3M3MO,MD02'MAMS1EN10,MD02'MAMS3ENM3,MD02'MAMS1EN10NE,MD02'MAMS1ENM3,MD02'MAMS3EN10NE,g_MD02'MAM1NEM3M3MO,g_MD02'MAMS1EN10,g_MD02'MAMS3ENM3,g_MD02'MAMS1EN10NE,g_MD02'MAMS1ENM3,g_MD02'MAMS3EN10NE,merged_grates,old_scale,new_scale,,t,T,
1971,,930115,,,,,,,,,,,,930115,847099.3621,,0,T-32,847099.3621
1972,,1012381.25,,,,,,8.844739629,,,,,8.844739629,1012381.25,922023.0951,,1,T-31,922023.0951
1973,,1253611.75,,,,,,23.82802921,,,,,23.82802921,1253611.75,1141723.028,,2,T-30,1141723.028
1974,,1439519.833,,,,,,14.82979745,,,,,14.82979745,1439519.833,1311038.24,,3,T-29,1311038.24
1975,,1657303.833,,,,,,15.12893362,,,,,15.12893362,1657303.833,1509384.345,,4,T-28,1509384.345
1976,,1937567.75,,,,,,16.910835,,,,,16.910835,1937567.75,1764633.841,,5,T-27,1764633.841
1977,,2206365.917,,,,,,13.87296866,,,,,13.87296866,2206365.917,2009440.941,,6,T-26,2009440.941
1978,,2507832.583,,,,,,13.66349364,,,,,13.66349364,2507832.583,2284000.776,,7,T-25,2284000.776
1979,,2828126.083,,,,,,12.77172576,,,,,12.77172576,2828126.083,2575707.091,,8,T-24,2575707.091
1980,,3116716.583,,,,,,10.20430106,,,,,10.20430106,3116716.583,2838539.997,,9,T-23,2838539.997
1981,,3438746.917,,,,,,10.33235858,,,,,10.33235858,3438746.917,3131828.128,,10,T-22,3131828.128
1982,,3787503.333,,,,,,10.14196232,,,,,10.14196232,3787503.333,3449456.957,,11,T-21,3449456.957
1983,,4106363.5,,,,,,8.418742866,,,,,8.418742866,4106363.5,3739857.869,,12,T-20,3739857.869
1984,,4446133.667,,,,,,8.274235018,,,,,8.274235018,4446133.667,4049302.498,,13,T-19,4049302.498
1985,,4820037.417,,,,,,8.409638082,,,,,8.409638082,4820037.417,4389834.183,,14,T-18,4389834.183
1986,,5233329.75,,,,,,8.574463175,,,,,8.574463175,5233329.75,4766238.898,,15,T-17,4766238.898
1987,,5742925.667,,,,,,9.73750826,,,,,9.73750826,5742925.667,5230351.805,,16,T-16,5230351.805
1988,,6309442.25,,,,,,9.864598921,,,,,9.864598921,6309442.25,5746305.032,,17,T-15,5746305.032
1989,,6926569,,,,,,9.781003226,,,,,9.781003226,6926569,6308351.313,,18,T-14,6308351.313
1990,,7631859,,,,,,10.18238611,,,,,10.18238611,7631859,6950692.001,,19,T-13,6950692.001
1991,,8043467.167,,,,,,5.393288407,,,,,5.393288407,8043467.167,7325562.867,,20,T-12,7325562.867
1992,,8400948.167,,,,,,4.444364508,,,,,4.444364508,8400948.167,7651137.583,,21,T-11,7651137.583
1993,,8749789.083,,,,,,4.152399345,,,,,4.152399345,8749789.083,7968843.37,,22,T-10,7968843.37
1994,,9062994.583,,,,,,3.579577713,,,,,3.579577713,9062994.583,8254094.311,,23,T-9,8254094.311
1995,,9410903.25,,,,,,3.838782683,,,,,3.838782683,9410903.25,8570951.054,,24,T-8,8570951.054
1996,,9747049.833,,9768106.083,8758131.917,,,3.571884381,,,,,3.571884381,9747049.833,8877095.516,,25,T-7,8877095.516
1997,,10019940.42,,10035675.92,9046827,,,2.799724922,,2.739219159,3.296308917,,2.799724922,10019940.42,9125629.772,,26,T-6,9125629.772
1998,,10374340.42,9529693.778,10387232.08,9430974.25,10571993.44,,3.53694718,,3.503064164,4.246209748,,3.53694718,10374340.42,9448398.477,,27,T-5,9448398.477
1999,,10606214.33,9808313.667,10617013.33,9655458,10890694,,2.23507141,2.923702434,2.212150919,2.380281655,3.014573904,2.923702434,10677655.26,9724641.533,,28,T-4,9724641.533
2000,,,9980400,,,11105729.33,,,1.754494597,,,1.974486964,1.754494597,10792299.79,9895259.843,,29,T-3,9895259.843
