"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","5.91603734446231","4.10133983775522","1.23902934398643","5.86968833634802","10.5330308213028","0.135017430279234","2.8149206082783","2.0764657443741","3.70588603198192","4.52670324729259","3.56494932856558","3.39202327225436","1.94919702597012","3.48193087414259","1.17373338112088","4.46621962377371","2.62768437933549","1.58590149733963","-2.11107058249208","-3.63141729654528","0.839034826051545","3.3735756172948","-0.410206697797662","0.977752773341848","3.8378138528862","5.07016634659172","5.6783631194957","6.8413910520535","5.22001135228606","3.18815090544405","4.86344222418136","6.61491666471858","8.39290159608548","1.31326651841972","2.80988505861426","12.550859105616","1.94897906956805","5.58321243561417","0.89266506182264","0.695294822703914","1.70129584779824","1.39464778046758","-0.306184739308719","0.864823124671247","-1.03310518510351","3.32897489137463",
"Afghanistan","AFG","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","1.62792819972366","6.60384600463347","2.32075123180779","1.84643321176223","3.74208018465103","-2.40674235980558","-3.24358218973845","0.588444463511337","3.76773479546138","1.76894389212509","-4.82429387379493","-0.047638377216046","-3.27781249138714","-1.35284260764256","1.78851460432253","6.86835902561036","16.2754556956382","-3.6069664147323","3.38112244362021","2.8359536479968","10.3003003525159","-2.80309473795569","83.9597476670713","7.7962629593038","21.9790737791194","51.8894876031479","5.22448902596003","-3.21171106230049","13.5111080245128","9.11672165926878","1.16755332263358","-4.74285587511791","-1.19023002794256","-5.8752768395767","-6.27619236011027","-2.23685636736906","17.6042752339691","5.35198031405189","34.0304255755405","-16.2082737188275",
"Angola","AGO","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98999999999998","2.10000002508104","8.26999995252709","9.82000004961468","8.49999995550634","12.3400000040033","-9.23570396114276","5.06017083157202","27.2346512126293","0.622286762895087","21.3825293942233","-14.1387803733141","-8.78121321806418","-10.5287109662171","0.274065671441079","-1.70861747238435","5.07092770746067","-14.0250000000002","-6.34999999999995",
"Albania","ALB","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.7014301121183","-9.1479676240089","-0.221160038785683","-9.98073687585325","9.69943895835557","5.32679471587694","-0.7172654264415","4.32364600568857","-1.45587834996148","-2.42327273183174","3.36916262726889","4.37514415761906","3.73871426781034","3.96624869867385","0.651383983100203","0.102870645329517","2.90699729848147","6.39455108145319","-1.10397808663096","4.69683160284214","3.16160884713064","0.713597537235373","2.9141128888545","1.46251285296121","8.17542177000048",
"Andorra","AND","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81227992566994","2.31691757523116","3.98375194593825","5.2675910762193","4.86909822611045","5.76276426257907","1.99261268864615","6.66935373693396","5.87009201258341","3.36269260952764","14.6928751411192","4.18858349380832","9.43986045154732","7.08735994927375","-2.61984582291672","-7.08456301448123","3.4731068369568","4.58516145625194","2.64383336749067","-0.53522713624983","-0.178953076928494",
"United Arab Emirates","ARE","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83527020823841","4.55181961591865","-1.71016088074255","-5.62424693992661","-3.48354737646068","0.428326182194525","11.8322227088187","32.9019504102931","0.872482496062489","12.2503999446696","-2.16252436306075","30.7929422428539","0.480031266960339","-2.97792551771288","-1.13332706835904","11.7285414246894","-4.96440788327035","9.97735270707429","0.679059305864655","",
"Argentina","ARG","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.444679213709009","0.760544047764938","2.16969549390515","3.21958426280575","3.35688000456005","2.62183855162084","0.577056274949527","-2.06940281826581","-5.07813931802431","1.46082229558715","2.71800069885624","9.85543506813875","3.722523138301","7.82977850975357","5.01507838599295","5.6342542143168","5.45217570634782","4.56490954976077","3.00929601702897","5.32258741050417","2.9450304007775","6.9460061935652","-0.52437566428037","2.63712454374637","-1.89140929409746","-6.40012823679032","-1.89824864578428","7.09699188796182",
