Year,Nominal GDP,M1
1885,806,214
1886,800,214
1887,818,203
1888,866,229
1889,955,233
1890,1056,253
1891,1139,263
1892,1125,279
1893,1197,318
1894,1338,349
1895,1552,423
1896,1666,475
1897,1957,549
1898,2194,569
1899,2314,770
1900,2414,755
1901,2484,737
1902,2537,835
1903,2696,885
1904,3028,995
1905,3084,1156
1906,3302,1509
1907,3743,1402
1908,3766,1350
1909,3780,1494
1910,3925,1613
1911,4463,1743
1912,4774,1796
1913,5013,1810
1914,4738,1771
1915,4991,2068
1916,6148,2847
1917,8592,4082
1918,11839,5296
1919,15453,6665
1920,15896,7065
1921,14886,7625
1922,15573,7501
1923,14924,7460
1924,15576,7425
1925,16265,7369
1926,15975,7157
1927,16293,7468
1928,16506,7439
1929,16286,7381
1930,14671,6755
1931,13309,6246
1932,13660,6677
1933,15347,6995
1934,16966,7292
1935,18298,7582
1936,19324,8340
1937,22823,10050
1938,26394,12753
1939,31230,18299
1940,36851,23163
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,87585.42136,18476.46935
1956,98601.75126,21073.28
1957,113630.2982,23750.54507
1958,120746.3848,25078.25221
1959,138034.2892,29198.58985
1960,167538.8399,35025.88385
1961,202353.2469,43816.34492
1962,229626.6952,50818.89289
1963,262805.4488,64216.35291
1964,309144.7766,75012.14654
1965,343937.2075,87602.0485
1966,399442.6828,101866.6748
1967,468097.2209,115569.0412
1968,554373.4916,132428.9712
1969,651215.058,156840.3141
1970,767542.1437,185567.8144
1971,844525.6425,232900.8796
1972,966891.9835,284320.8783
1973,1177273.85,358652.6367
1974,1404838.973,405801.519
1975,1552218.359,447573.8529
1976,1743161.798,511274.159
1977,1942503.266,547090.7733
1978,2139054.809,606161.8947
1979,2318448.212,666412.5399
1980,2513400.729,671763.6375
1981,2699538.717,696775.6676
1982,2831791.186,746054.7082
1983,2948645.699,768194.4906
1984,3145132.361,790835.2503
1985,3353128.246,827572.3602
1986,3510503.64,888667.5674
1987,3660175.87,968818.6664
1988,3913567.155,1043752.368
1989,4185915.485,1091499.091
1990,4500294.771,1126841.434
1991,4796023.632,1193852.009
1992,4929153.053,1270983.932
1993,4974783.912,1324104.357
1994,5015377,1386810.243
1995,5125417,1501722.17
1996,5258069,1704446.784
1997,5341425,1846230.234
1998,5278769,1987695.559
1999,5196518,2183094.417
2000,5267060,2345488.917
2001,5230050,2561186
2002,5159862,3262960.417
2003,5154007,3511523.583
2004,5209654,3651806.75
2005,5241328,3820414.167
2006,5268797,3934108.25
2007,5316882,3948144.417
2008,5207157,3928488.961
2009,4895010,3952578.628
2010,5003539,4036176.32
2011,4914085,4230204.516
2012,4949572,4383190.189
2013,5031756,4593577.455
2014,5138760,4806510.163
2015,5313198,5053862.066
2016,5359864,5408996.881
2017,5451219,5835950.534
2018,,6194466.156
2019,,6485614
2020,,7202608
2021,,7885947
2022,,8319995
