MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1981,1981,USD,US Dollar,6,Millions,,,72750,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1982,1982,USD,US Dollar,6,Millions,,,81166,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1983,1983,USD,US Dollar,6,Millions,,,90403,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1984,1984,USD,US Dollar,6,Millions,,,102874,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1985,1985,USD,US Dollar,6,Millions,,,115219,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1986,1986,USD,US Dollar,6,Millions,,,120562,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1987,1987,USD,US Dollar,6,Millions,,,126666,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1988,1988,USD,US Dollar,6,Millions,,,134203,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1989,1989,USD,US Dollar,6,Millions,,,142228,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1990,1990,USD,US Dollar,6,Millions,,,152392,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1991,1991,USD,US Dollar,6,Millions,,,161391,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1992,1992,USD,US Dollar,6,Millions,,,165838,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1993,1993,USD,US Dollar,6,Millions,,,166153,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1994,1994,USD,US Dollar,6,Millions,,,169621,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1995,1995,USD,US Dollar,6,Millions,,,184086,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1996,1996,USD,US Dollar,6,Millions,,,197802,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1997,1997,USD,US Dollar,6,Millions,,,212478,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1998,1998,USD,US Dollar,6,Millions,,,226227,b; d,Time series break; Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,1999,1999,USD,US Dollar,6,Millions,,,244980,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2000,2000,USD,US Dollar,6,Millions,,,268558,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2001,2001,USD,US Dollar,6,Millions,,,279061,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2002,2002,USD,US Dollar,6,Millions,,,278414,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2003,2003,USD,US Dollar,6,Millions,,,292157,b; d,Time series break; Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2004,2004,USD,US Dollar,6,Millions,,,303824,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2005,2005,USD,US Dollar,6,Millions,,,326231,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2006,2006,USD,US Dollar,6,Millions,,,351669,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2007,2007,USD,US Dollar,6,Millions,,,378524,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2008,2008,USD,US Dollar,6,Millions,,,405405,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2009,2009,USD,US Dollar,6,Millions,,,404201,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2010,2010,USD,US Dollar,6,Millions,,,408496,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2011,2011,USD,US Dollar,6,Millions,,,427126,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2012,2012,USD,US Dollar,6,Millions,,,434442,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2013,2013,USD,US Dollar,6,Millions,,,455128,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2014,2014,USD,US Dollar,6,Millions,,,477003,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2015,2015,USD,US Dollar,6,Millions,,,507401,b; d,Time series break; Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2016,2016,USD,US Dollar,6,Millions,,,533465,b; d,Time series break; Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2017,2017,USD,US Dollar,6,Millions,,,565685,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2018,2018,USD,US Dollar,6,Millions,,,618066,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2019,2019,USD,US Dollar,6,Millions,,,677881,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2020,2020,USD,US Dollar,6,Millions,,,730329,d,Definition differs
G_PPP,Gross Domestic Expenditure on R&D (GERD) at current PPP $,USA,United States,2021,2021,USD,US Dollar,6,Millions,,,806013,d; p,Definition differs; Provisional value
G_XPOP,GERD per capita population (current PPP $),USA,United States,1981,1981,PC,Percentage,0,Units,,,316.2933463,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1982,1982,PC,Percentage,0,Units,,,349.5250153,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1983,1983,PC,Percentage,0,Units,,,385.7886,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1984,1984,PC,Percentage,0,Units,,,435.1802499,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1985,1985,PC,Percentage,0,Units,,,483.0863794,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1986,1986,PC,Percentage,0,Units,,,500.9161428,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1987,1987,PC,Percentage,0,Units,,,521.5962577,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1988,1988,PC,Percentage,0,Units,,,547.630998,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1989,1989,PC,Percentage,0,Units,,,574.9210751,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1990,1990,PC,Percentage,0,Units,,,609.1269921,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1991,1991,PC,Percentage,0,Units,,,636.5755532,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1992,1992,PC,Percentage,0,Units,,,645.4799511,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1993,1993,PC,Percentage,0,Units,,,638.3576275,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1994,1994,PC,Percentage,0,Units,,,643.8329126,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1995,1995,PC,Percentage,0,Units,,,690.5262052,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1996,1996,PC,Percentage,0,Units,,,733.3768362,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1997,1997,PC,Percentage,0,Units,,,778.4274504,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1998,1998,PC,Percentage,0,Units,,,819.2059503,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1999,1999,PC,Percentage,0,Units,,,877.0334517,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2000,2000,PC,Percentage,0,Units,,,950.9911543,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2001,2001,PC,Percentage,0,Units,,,978.3889911,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2002,2002,PC,Percentage,0,Units,,,966.8663506,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2003,2003,PC,Percentage,0,Units,,,1005.267939,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2004,2004,PC,Percentage,0,Units,,,1036.015577,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2005,2005,PC,Percentage,0,Units,,,1102.157821,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2006,2006,PC,Percentage,0,Units,,,1176.866855,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2007,2007,PC,Percentage,0,Units,,,1254.653691,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2008,2008,PC,Percentage,0,Units,,,1331.191326,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2009,2009,PC,Percentage,0,Units,,,1315.587163,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2010,2010,PC,Percentage,0,Units,,,1318.413757,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2011,2011,PC,Percentage,0,Units,,,1367.700411,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2012,2012,PC,Percentage,0,Units,,,1380.386051,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2013,2013,PC,Percentage,0,Units,,,1435.286772,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2014,2014,PC,Percentage,0,Units,,,1492.49533,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2015,2015,PC,Percentage,0,Units,,,1575.226706,b; d,Time series break; Definition differs
