Year,M1,Nominal GDP
1851,124.954,657.96
1852,129.963,770.604
1853,134.593,815.178
1854,139.289,834.741
1855,144.629,919.937
1856,155.591,891.365
1857,164.289,974.12
1858,178.119,1022.788
1859,190.984,1049.502
1860,197.966,1057.053
1861,203.701,1129.313
1862,213.561,1130.522
1863,236.871,1151.282
1864,235.818,1132.778
1865,243.15,1189.033
1866,255.793,1212.121
1867,261.577,1153.81
1868,289.446,1289.541
1869,296.823,1298.064
1870,291.91,1323.315
1871,335.028,1493.99
1872,356.162,1605.317
1873,385.77,1734.219
1874,399.184,1767.88
1875,414.505,1894.532
1876,425.975,1959.017
1877,441.209,1798.143
1878,455.596,1704.211
1879,478.468,1655.313
1880,508.571,1732.375
1881,502.931,1722.709
1882,482.036,1662.652
1883,498.684,1646.473
1884,529.637,1686.338
1885,528.493,1682.454
1886,535.541,1680.178
1887,573.886,1699.355
1888,564.369,1732.081
1889,576.966,1813.658
1890,598.413,2013.903
1891,577.091,1964.013
1892,586.316,2108.884
1893,613.104,2143.173
1894,643.001,2077.814
1895,665.821,2289.575
1896,736.038,2357.725
1897,783.391,2525.984
1898,806.768,2628.111
1899,835.832,2708.946
1900,886.987,2708.692
1901,877.928,2684.213
1902,973.234,2765.787
1903,1004.889,2735.03
1904,1075.031,2901.498
1905,1168.182,3007.778
1906,1304.6,3396.91
1907,1444.282,3607.66
1908,1514.892,3624.319
1909,1700.885,3821.299
1910,1763.672,4040.597
1911,,
1912,,
1913,,
1914,1366.862784,5088.156
1915,1595.515431,5469.348
1916,2001.026478,6846.36
1917,2458.331772,8289.374
1918,3121.550775,10020.881
1919,3418.420234,10219.089
1920,3446.212268,11595.593
1921,3113.971129,8634.093
1922,3025.541929,8063.552
1923,2939.639277,8751.693
1924,2886.581757,9497.293
1925,3045.754318,9723.579
1926,3206.190153,9630.116
1927,3350.203422,10042.936
1928,3527.061823,10777.798
1929,3943.942339,10970.016
1930,4082.902511,10791.937
1931,5060.676813,10382.956
1932,5136.473271,9360.517
1933,4642.533023,9233.852
1934,4344.40029,9037.287
1935,3961.628179,8568.115
1936,4969.721064,8555.057
1937,5745.371479,9854.272
1938,5968.971029,9710.083
1939,6323.951105,10156.159
1940,7124.867006,11360.266
1941,7641.546192,12399.015
1942,8398.247492,13399.507
1943,9177.68773,14094.653
1944,10289.36911,14598.685
1945,11486.95314,15540.662
1946,12239.86461,18993.353
1947,12850.0261,21182.255
1948,13306.06812,21979.266
1949,14225.7318,21698.978
1950,14672.67825,22866.845
1951,15068.60823,25062.436
1952,15384.99605,26481.395
1953,16021.68945,27795.246
1954,16454.77867,29453.618
1955,16786.9562,31771.834
1956,17514.70755,34160.123
1957,18150.33248,36338.196
1958,18787.50075,37360.08
1959,20653.41723,39678.297
1960,22156.88268,43643.207
1961,25404.33953,49097.148
1962,28053.92432,54445.981
1963,30187.90974,59870.726
1964,31964.43033,66364.069
1965,33396.7827,71076.414
1966,34282.90605,76325.978
1967,35312.08656,82159.476
1968,38673.63298,87730.204
1969,40755.85665,95058.572
1970,42778.95792,105884.704
1971,49835.89038,120284.51
1972,58535.66514,136301.812
1973,59852.02844,151892.843
1974,59921.24198,164786.1
1975,62312.01797,163682.465
1976,67187.47716,165790.466
1977,70779.4584,170263.398
1978,82495.18673,177136.298
1979,89528.13783,185159.548
1980,81443.56821,198922.9
1981,78535.76823,213549.9
1982,80899.95101,226239.9
1983,87071.59117,233074.8
1984,89779.11113,249113.1
1985,92117.66667,264129
1986,98359,277202.4
1987,107906.25,287774.2
1988,122557.6667,305499
1989,117535,329752.7
1990,111570.3333,357608.3
1991,113744,373499.5
1992,116011.25,381268.2
1993,128211.75,389629.8
1994,135419,399250.5
1995,144650.9167,404130
1996,161556.75,407409.5
1997,177793.9167,415948.4
1998,191976,427658.4
1999,208426.9167,435463.9
2000,204529.5,458778.949
2001,206528.4167,470213.9171
2002,224406.5833,469337.8031
2003,273545.1667,474015.0136
2004,288473.3333,489369.0964
2005,284178.0833,507463.3989
2006,282449.0833,538125.4323
2007,268923.25,573080.3259
2008,273078.1667,597380.515
2009,377199.0833,587060.667
2010,417467.1667,606145.691
2011,453282.8333,618324.765
2012,505017,623943.037
2013,546924.5,634854.042
2014,567174.4167,642255.906
2015,566611.6667,639082.376
2016,580213,
2017,617883.7,
2018,653581.8,
2019,679240.9,
2020,708722.2,
2021,756169.9,
2022,772683.9,
