Year;Canada
1969;4,70
1970;5,90
1971;6,40
1972;6,30
1973;5,60
1974;5,40
1975;
1976;7,10
1977;8,06
1978;8,39
1979;7,55
1980;7,55
1981;7,62
1982;11,03
1983;12,04
1984;11,36
1985;10,52
1986;9,60
1987;8,83
1988;7,77
1989;7,55
1990;8,14
1991;10,32
1992;11,20
1993;11,38
1994;10,41
1995;9,49
1996;9,63
1997;9,11
1998;8,29
1999;7,59
2000;6,83
2001;7,22
2002;7,67
2003;7,58
2004;7,19
2005;6,76
2006;6,32
2007;6,04
2008;6,14
2009;8,34
2010;8,06
2011;7,51
2012;7,30
2013;7,07
2014;6,91
2015;6,91
2016;7,00
2017;6,34
2018;5,83
2019;5,67
2020;9,50
2021;7,47
