id,submitdate,lastpage,startlanguage,seed,Randomisierung,Alter,Sex,Bildung,Partnerschaft,OPselbst,OPandere,BildVG,AnnaVG[Eig1],AnnaVG[Eig2],AnnaVG[Eig3],AnnaVG[Eig4],AnnaVG[Eig5],AnnaVG[Eig6],AnnaVG[Eig7],AnnaVG[Eig8],AnnaVG[Eig9],AnnaVG[Eig10],AnnaVG[Eig11],AnnaVG[Eig12],AnnaVG[Eig13],AnnaVG[Eig14],AnnaVG[Eig15],BildKG,AnnaKG[Eig1],AnnaKG[Eig2],AnnaKG[Eig3],AnnaKG[Eig4],AnnaKG[Eig5],AnnaKG[Eig6],AnnaKG[Eig7],AnnaKG[Eig8],AnnaKG[Eig9],AnnaKG[Eig10],AnnaKG[Eig11],AnnaKG[Eig12],AnnaKG[Eig13],AnnaKG[Eig14],AnnaKG[Eig15],SexCompetition[SexComp1],SexCompetition[SexComp2],SexCompetition[SexComp3],SexCompetition[SexComp4],SexCompetition[SexComp5],SexCompetition[SexComp6],SexCompetition[SexComp7],SexCompetition[SexComp8],SexCompetition[SexComp9],SexCompetition[SexComp10],SexCompetition[SexComp11],SexCompetition[SexComp12],PhysComp[PhysComp1],PhysComp[PhysComp2],PhysComp[PhysComp3],PhysComp[PhysComp4],PhysComp[PhysComp5],PhysComp[PhysComp6],PhysComp[PhysComp7],PhysComp[PhysComp8],PhysComp[PhysComp9],PhysComp[PhysComp10],BodyImage[BodyIm1],BodyImage[BodyIm2],BodyImage[BodyIm3],BodyImage[BodyIm4],BodyImage[BodyIm5],BodyImage[BodyIm6],BodyImage[BodyIm7],BodyImage[BodyIm8],ACSS[ACSS1],ACSS[ACSS2],ACSS[ACSS3],ACSS[ACSS4],ACSS[ACSS5],ACSS[ACSS6],ACSS[ACSS7],ACSS[ACSS8],ACSS[ACSS9],ACSS[ACSS10],ACSS[ACSS11],ACSS[ACSS12],ACSS[ACSS13],ACSS[ACSS14],ACSS[ACSS15]
398,,2,de,97818840,1,23,1,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1/1/1980 0:00,8,de,2018239423,2,29,1,3,1,0,1,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
400,,3,de,67677769,2,29,1,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,3,de,1330235878,2,90,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,3,de,1235928063,2,99,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,2,de,843150059,1,99,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,2,de,273513779,1,88,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1/1/1980 0:00,8,de,1899521893,2,23,1,3,0,0,1,,,,,,,,,,,,,,,,,,2,5,3,3,5,5,5,4,4,2,1,4,5,2,2,5,4,4,7,1,3,4,1,5,4,4,3,4,3,3,4,4,5,4,4,4,5,3,2,4,2,4,6,4,6,7,5,6,4,7,6,5,7,3,1,5,7,3,6,5
406,1/1/1980 0:00,8,de,162128545,1,24,1,3,1,0,0,"Schön, eitel, selbstbewusst, zielstrebig",1,4,3,2,5,3,5,4,5,4,4,2,4,2,3,,,,,,,,,,,,,,,,,2,2,3,5,2,1,2,1,5,5,2,1,4,1,1,4,1,2,3,2,2,3,3,2,5,3,3,5,3,4,1,3,1,1,3,3,1,2,1,6,1,1,1,2,1
407,,5,de,630105860,1,22,1,1,1,0,0,,2,3,1,2,4,4,4,3,4,2,3,4,4,1,1,,,,,,,,,,,,,,,,,3,1,1,3,1,1,1,1,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1/1/1980 0:00,8,de,276451626,1,30,2,3,1,0,1,,3,4,3,3,4,4,3,3,4,3,2,3,4,2,3,,,,,,,,,,,,,,,,,4,3,2,5,1,1,2,1,4,3,4,1,3,5,4,4,4,4,4,4,4,4,2,5,3,5,5,6,6,4,6,4,3,2,5,5,5,5,2,2,4,1,1,4,4
409,1/1/1980 0:00,8,de,218337024,1,30,1,4,1,0,1,Zielstrebig aber wenig selbstbewusst ,5,5,5,2,5,1,3,3,5,5,5,5,1,2,3,,,,,,,,,,,,,,,,,1,1,2,6,1,1,2,1,6,6,4,2,3,3,2,5,3,4,4,4,4,4,4,3,4,2,2,7,4,6,4,6,1,7,7,6,6,6,6,3,1,1,7,6,6
410,1/1/1980 0:00,8,de,2102448719,2,47,1,3,1,0,0,,,,,,,,,,,,,,,,,"Eitel, selbstsicher, schön....",1,1,1,2,5,5,5,4,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,5,1,2,6,4,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1
411,1/1/1980 0:00,8,de,400664977,2,29,1,3,1,0,1,,,,,,,,,,,,,,,,,,1,4,3,3,4,5,3,3,4,1,3,3,4,1,3,1,2,1,5,1,1,1,1,4,4,2,1,5,3,2,4,4,3,2,5,2,3,3,3,3,1,3,3,5,4,2,2,1,1,3,1,1,1,1,6,1,1,2,5,1
412,,1,de,1788996763,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,4,de,981463593,1,33,1,1,1,1,1,,3,4,4,4,5,4,4,5,3,1,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1/1/1980 0:00,8,de,378138464,1,28,1,3,1,0,1,,2,4,1,3,4,5,5,5,4,3,3,4,4,2,3,,,,,,,,,,,,,,,,,2,2,1,3,1,1,1,1,4,2,1,2,5,5,5,4,5,3,3,3,4,5,3,4,4,3,4,5,4,3,6,7,7,7,7,7,7,7,1,1,4,7,1,7,2
415,1/1/1980 0:00,8,de,631750712,1,25,0,3,1,0,0,"eitel, selbstbewusst, mutig, organisiert, gesellig, sportlich ",2,4,2,2,5,5,5,4,3,2,3,3,4,3,1,,,,,,,,,,,,,,,,,4,4,4,3,3,2,2,2,3,3,2,1,3,3,3,4,4,3,2,2,2,3,2,3,3,1,3,2,2,2,5,4,2,5,5,2,2,1,1,4,3,3,2,5,3
416,1/1/1980 0:00,8,de,1308160881,2,19,1,1,0,1,0,,,,,,,,,,,,,,,,,"Ehrgeizig, ordentlich, verantwortungsbewusst",2,3,2,3,4,5,4,4,3,1,3,4,5,1,1,2,4,3,7,1,1,3,1,5,4,3,4,5,2,1,4,4,4,4,4,5,4,2,2,3,4,4,5,5,4,7,5,5,1,7,4,4,7,1,1,1,2,2,7,7
